scenario,expected_release,baseline_classification,proposed_classification,baseline_correct,proposed_correct,baseline_actual_release,proposed_actual_release,baseline_max_force_n,proposed_max_force_n,baseline_max_pull_n,proposed_max_pull_n,baseline_max_lateral_n,proposed_max_lateral_n,baseline_release_latency_ms,proposed_release_latency_ms,baseline_decision_processing_ms,proposed_decision_processing_ms
no_interaction,0,TN,TN,1,1,0,0,0.14460836350917816,0.1290149986743927,0.11382915824651718,0.11429811269044876,0.11437220871448517,0.11208265274763107,,,0.6290845147026982,0.6671026550743678
weak_pull,0,TN,TN,1,1,0,0,1.59122896194458,2.005605459213257,-1.2477387189865112,-1.8615028858184814,0.4132797122001648,0.1445523202419281,,,0.6624334535116086,0.7222718939389268
correct_pull,1,TP,TP,1,1,1,1,7.510450839996338,5.958134651184082,3.799501419067383,5.32058572769165,1.7635561227798462,2.68394136428833,514.1782760620117,511.746883392334,0.649661991067908,0.6835690332602148
strong_pull,1,TP,TP,1,1,1,1,7.994243144989014,10.868766784667969,3.9128360748291016,4.076622486114502,2.275540828704834,4.955723762512207,986.3498210906982,1057.0223331451416,0.6641120081303885,0.6527547604731612
side_push,0,FP,TN,0,1,1,0,9.420981407165527,4.254727363586426,0.6918910145759583,0.5792032480239868,9.420974731445312,4.245571613311768,509.9163055419922,,0.6470699982571712,0.6506461997252668
reverse_pull,0,FP,TN,0,1,1,0,8.468809127807617,8.082243919372559,8.463502883911133,-4.290101528167725,1.2313038110733032,0.5824178457260132,1359.1485023498535,,0.6352841101941609,0.69452747674021
out_of_zone_pull,0,FP,TN,0,1,1,0,8.038323402404785,7.7194061279296875,2.016695499420166,7.6948065757751465,2.23639178276062,2.2946090698242188,2079.329013824463,,0.6436461210835214,0.5556172907693695
